Step,Entropy
0,4.46253776550293
1,4.4289093017578125
2,4.445331573486328
3,4.422728538513184
4,4.384448051452637
5,4.307218551635742
6,4.224963188171387
7,4.303720474243164
8,4.127655982971191
9,4.143034934997559
10,4.182448387145996
11,4.138982772827148
12,4.053754806518555
13,4.09221076965332
14,4.164514064788818
15,4.024601459503174
16,4.086361408233643
17,4.090156555175781
18,3.9920120239257812
19,3.9786994457244873
20,4.040018081665039
21,4.0858330726623535
22,3.9937682151794434
23,3.9815783500671387
24,3.913814067840576
25,4.095131874084473
26,3.9408602714538574
27,4.050358295440674
28,4.106234550476074
29,4.081942558288574
30,4.020700931549072
31,4.06690788269043
32,4.026830673217773
33,4.0528154373168945
34,3.9357776641845703
35,4.078312873840332
36,4.006622791290283
37,4.193435192108154
38,3.9728150367736816
39,3.9556522369384766
40,3.9351277351379395
41,3.962623119354248
42,4.0028886795043945
43,3.981517791748047
44,3.9704489707946777
45,3.850963592529297
46,3.9358434677124023
47,3.9542012214660645
48,3.752720355987549
49,3.8411545753479004
50,3.9809038639068604
51,3.938849449157715
52,3.840785026550293
53,3.8148255348205566
54,3.952733039855957
55,3.9828829765319824
56,3.730234146118164
57,3.841938018798828
58,3.71036434173584
59,3.8253703117370605
60,3.8356921672821045
61,3.742617130279541
62,3.929748296737671
63,3.797579288482666
64,3.9406282901763916
65,3.78887939453125
66,3.837040424346924
67,3.870985507965088
68,3.9078369140625
69,3.8654236793518066
70,3.891818046569824
71,3.792786121368408
72,3.8772034645080566
73,3.838672399520874
74,3.8943262100219727
75,3.8587522506713867
76,3.9614953994750977
77,3.972108840942383
78,3.7797913551330566
79,3.9290263652801514
80,3.870119094848633
81,3.996145486831665
82,3.9628608226776123
83,3.891578197479248
84,3.928065538406372
85,3.8695266246795654
86,3.940798282623291
87,3.9897539615631104
88,3.9400582313537598
89,3.9374265670776367
90,3.89288330078125
91,3.8917951583862305
92,3.954467535018921
93,3.8514437675476074
94,3.7985429763793945
95,3.8228769302368164
96,3.7665905952453613
97,3.768198251724243
98,3.7970991134643555
99,3.820876359939575
100,3.8089065551757812
101,3.8164186477661133
102,3.739269733428955
103,3.6299357414245605
104,3.7444498538970947
105,3.8895480632781982
106,3.7288265228271484
107,3.715341329574585
108,3.7212305068969727
109,3.8654251098632812
110,3.7127578258514404
111,3.657294988632202
112,3.7598671913146973
113,3.742766857147217
114,3.7715017795562744
115,3.849196195602417
116,3.7528085708618164
