Step,Entropy
0,4.463183403015137
1,4.422023773193359
2,4.531404495239258
3,4.48687744140625
4,4.510135650634766
5,4.478174686431885
6,4.522703170776367
7,4.504260063171387
8,4.536266326904297
9,4.526996612548828
10,4.4993181228637695
11,4.562897682189941
12,4.540114879608154
13,4.51102352142334
14,4.445790767669678
15,4.534634113311768
16,4.518403053283691
17,4.534048080444336
18,4.512571334838867
19,4.5051984786987305
20,4.458580017089844
21,4.536131381988525
22,4.5114641189575195
23,4.542030334472656
24,4.527848243713379
25,4.54221248626709
26,4.499872207641602
27,4.53175163269043
28,4.48338508605957
29,4.426762580871582
30,4.458197593688965
31,4.433193206787109
32,4.496592998504639
33,4.455498695373535
34,4.42414665222168
35,4.4676432609558105
36,4.529805660247803
37,4.367819786071777
38,4.424582481384277
39,4.451558589935303
40,4.43766450881958
41,4.423185348510742
42,4.442018985748291
43,4.418879508972168
44,4.36976957321167
45,4.409115314483643
46,4.465973854064941
47,4.416889190673828
48,4.402091979980469
49,4.477185249328613
50,4.40187931060791
51,4.386774063110352
52,4.390408039093018
53,4.467279434204102
54,4.433632850646973
55,4.373610496520996
56,4.3503007888793945
57,4.382933616638184
58,4.395244598388672
59,4.346179962158203
60,4.359269142150879
61,4.44499397277832
62,4.4625935554504395
63,4.413640022277832
64,4.310714244842529
65,4.350719451904297
66,4.312872409820557
67,4.394412517547607
68,4.36274528503418
69,4.401525497436523
70,4.391787528991699
71,4.321455001831055
72,4.39540958404541
73,4.431349754333496
74,4.312578201293945
75,4.431375026702881
76,4.245641708374023
77,4.3194990158081055
78,4.410762786865234
79,4.305508613586426
80,4.330004692077637
81,4.343141555786133
82,4.319521903991699
83,4.362461090087891
84,4.355813980102539
85,4.38994836807251
86,4.317915916442871
87,4.33021354675293
88,4.350778579711914
89,4.34407901763916
90,4.4012908935546875
91,4.324446201324463
92,4.233886241912842
93,4.262092113494873
94,4.276302814483643
95,4.337662220001221
96,4.277949333190918
97,4.308485984802246
98,4.299591541290283
99,4.329123497009277
100,4.392249584197998
101,4.361248970031738
102,4.220975875854492
103,4.3621344566345215
104,4.284637451171875
105,4.283051013946533
106,4.310131072998047
107,4.381075859069824
108,4.31866455078125
109,4.370838642120361
110,4.382617950439453
111,4.388671398162842
112,4.30114221572876
113,4.237490653991699
114,4.310699939727783
115,4.304984092712402
116,4.356955051422119
117,4.290990829467773
118,4.351317405700684
119,4.374636650085449
120,4.266201972961426
121,4.349978446960449
122,4.317341327667236
123,4.292141437530518
124,4.393892765045166
125,4.236123085021973
126,4.350628852844238
127,4.206856727600098
128,4.325494766235352
129,4.294094085693359
130,4.2968339920043945
131,4.254852294921875
132,4.326186180114746
133,4.241334915161133
134,4.284905433654785
135,4.194790840148926
136,4.28870153427124
137,4.181013584136963
138,4.263701438903809
139,4.240407943725586
140,4.286478042602539
141,4.266497611999512
142,4.199549674987793
143,4.252419471740723
144,4.217859745025635
145,4.279664993286133
146,4.257822036743164
147,4.301238536834717
148,4.2435102462768555
149,4.163973808288574
150,4.185534477233887
151,4.216832637786865
152,4.245319366455078
153,4.278444290161133
154,4.263870716094971
155,4.273908615112305
156,4.256312847137451
157,4.2339396476745605
158,4.278017997741699
159,4.250659942626953
160,4.247354507446289
161,4.163673400878906
162,4.254880905151367
163,4.311851501464844
164,4.188253402709961
165,4.254652500152588
166,4.263354301452637
167,4.199216842651367
168,4.111320972442627
169,4.206095218658447
170,4.22741174697876
171,4.130942344665527
172,4.213635444641113
173,4.104968070983887
174,4.066379547119141
175,4.2077531814575195
176,4.171264171600342
177,4.137223243713379
178,4.049171447753906
179,4.108939170837402
180,4.1681623458862305
181,4.010050296783447
182,4.079092502593994
183,4.09710693359375
184,4.155979156494141
185,4.066866874694824
186,4.144183158874512
187,4.067586421966553
188,4.101644039154053
189,4.106903076171875
190,4.062145709991455
191,4.101161003112793
192,3.983096122741699
193,4.075249671936035
194,4.1148858070373535
195,3.952789306640625
196,3.9900002479553223
197,4.02785587310791
198,4.0094099044799805
199,4.200222015380859
200,4.067277431488037
201,4.085669994354248
202,3.999986171722412
203,4.098386764526367
204,4.175069808959961
205,4.205732345581055
206,4.103246688842773
207,4.036465644836426
208,4.03137731552124
209,3.9674313068389893
210,4.010593414306641
211,4.032487869262695
212,4.020233154296875
213,4.028565406799316
214,4.072187900543213
215,4.1478776931762695
216,4.163996696472168
217,4.012019157409668
218,4.10804557800293
219,4.108264923095703
220,4.056948661804199
221,4.022159576416016
222,4.128220558166504
223,3.992018938064575
224,4.109374523162842
225,4.051389694213867
226,4.1476335525512695
227,4.076484680175781
228,4.049053192138672
229,4.025590896606445
230,4.008338451385498
231,4.076364040374756
232,3.98305606842041
233,4.049432754516602
234,4.0250749588012695
235,4.033421993255615
236,4.021434307098389
237,4.048779487609863
238,3.9717109203338623
239,4.02454948425293
240,4.054685592651367
241,4.05275821685791
242,4.086989402770996
243,3.8862671852111816
244,3.9092514514923096
245,3.9115149974823
246,3.948516607284546
247,3.991690158843994
248,4.045823097229004
249,3.9687438011169434
250,4.019820690155029
251,4.012294769287109
252,3.7803735733032227
253,3.856299877166748
254,3.8474955558776855
255,4.106357574462891
256,3.9495859146118164
257,3.7992851734161377
258,3.9402081966400146
259,4.013768672943115
260,3.803290605545044
261,3.8482131958007812
262,3.991886615753174
263,4.023758888244629
264,4.009050369262695
265,3.9332923889160156
266,4.0279951095581055
267,3.8665106296539307
268,3.8414862155914307
269,3.9132237434387207
270,3.999185562133789
271,3.9208717346191406
272,3.86436128616333
273,3.9719324111938477
274,3.8709659576416016
275,3.8467600345611572
276,3.9286978244781494
277,3.9645490646362305
278,3.853156089782715
279,3.98146915435791
280,3.926862955093384
281,3.9361586570739746
282,3.8088436126708984
283,3.855900287628174
284,3.90553617477417
285,3.7334513664245605
286,3.8304405212402344
287,3.9116265773773193
288,3.800508499145508
289,3.9668850898742676
290,3.7458925247192383
291,3.8137588500976562
292,3.6779065132141113
293,3.9131460189819336
294,3.7685470581054688
295,3.903379440307617
296,3.916836977005005
297,3.870917797088623
298,3.9454095363616943
299,3.745190382003784
300,3.694864273071289
301,3.756159782409668
302,3.7768633365631104
303,3.7800564765930176
304,3.752023458480835
305,3.7248287200927734
306,3.8002915382385254
307,3.725851535797119
308,3.7496886253356934
309,3.7543206214904785
310,3.845975875854492
311,3.808445692062378
312,3.761474132537842
313,3.745546340942383
314,3.6768085956573486
315,3.637378692626953
316,3.7451820373535156
317,3.831134796142578
318,3.78180193901062
319,3.870096206665039
320,3.7166967391967773
321,3.7253549098968506
322,3.761160135269165
323,3.7179856300354004
324,3.815311908721924
325,3.8754076957702637
326,3.819005012512207
327,3.784993886947632
328,3.7029471397399902
329,3.65535306930542
330,3.7672348022460938
331,3.8269569873809814
332,3.8189542293548584
333,3.7491023540496826
