PPO Alone,NSGA-II + PPO
867.4564819335938,1069.205810546875
848.4177856445312,1299.763427734375
968.105224609375,1032.6314697265625
1063.365234375,838.5358276367188
1038.9462890625,937.6817626953125
987.4451904296875,1250.748291015625
866.3359985351562,981.0670166015625
1022.7803955078125,1124.080322265625
888.5467529296875,1225.2977294921875
1009.2401733398438,1061.2327880859375
1094.6416015625,1257.087890625
1062.252197265625,1271.5906982421875
840.8824462890625,1362.274658203125
1096.05615234375,1175.0006103515625
1030.0201416015625,1111.2333984375
1038.384033203125,1305.267822265625
1120.3297119140625,1098.9661865234375
1230.3681640625,1081.2432861328125
1156.7642822265625,1131.4581298828125
1228.158447265625,1387.3304443359375
1026.7723388671875,1128.079833984375
1090.9310302734375,1236.646484375
1256.986572265625,1621.1396484375
1014.7786254882812,1499.1031494140625
1127.382080078125,1469.0216064453125
1117.846435546875,1428.0885009765625
1189.6185302734375,1514.581298828125
1163.27294921875,1380.5126953125
1253.36767578125,1115.0509033203125
1134.6859130859375,1143.288818359375
1125.87255859375,1466.171875
1160.561279296875,1414.1220703125
853.91357421875,1477.943359375
1314.612548828125,1218.5611572265625
1094.1439208984375,1631.3609619140625
1217.4830322265625,1450.6181640625
1014.1243896484375,1641.2984619140625
1612.294921875,1286.888671875
1050.949462890625,1469.89111328125
1352.0908203125,1654.5706787109375
1159.2691650390625,1722.748046875
1069.5025634765625,1272.46435546875
1327.587890625,1239.1290283203125
1241.653076171875,1386.126220703125
1306.3670654296875,1528.6922607421875
1257.525390625,1591.786865234375
1134.403076171875,1494.1605224609375
1127.9718017578125,1662.5438232421875
1169.54248046875,1571.9765625
1372.3006591796875,1440.5789794921875
1374.779052734375,1520.1099853515625
1101.714599609375,1553.2801513671875
1490.68994140625,1806.302978515625
1013.4868774414062,1750.1934814453125
1267.5335693359375,1549.766845703125
1337.491455078125,1986.0294189453125
1252.410888671875,1684.236572265625
1235.649658203125,1610.2354736328125
1439.8221435546875,1911.76708984375
1147.311767578125,1557.734130859375
1443.4873046875,1688.042724609375
1050.129638671875,1740.3924560546875
1122.1441650390625,1636.9783935546875
1132.316162109375,1563.3961181640625
1477.4443359375,1389.2330322265625
1284.51513671875,1807.9095458984375
1127.092041015625,1965.373779296875
1056.912841796875,1674.1219482421875
1345.5234375,1572.1348876953125
1467.2508544921875,1884.9056396484375
1369.76171875,1626.3455810546875
1286.8399658203125,1743.69970703125
1346.7860107421875,1881.61181640625
1156.17041015625,1811.666015625
1562.173583984375,1639.4241943359375
1464.6861572265625,1733.4620361328125
1271.5306396484375,1469.9276123046875
1636.075927734375,1711.255126953125
1061.441650390625,2033.3876953125
1240.4954833984375,1667.3621826171875
1254.8795166015625,1794.9425048828125
1279.7786865234375,1592.920654296875
1345.59765625,1766.3807373046875
1291.9434814453125,1791.4005126953125
1215.376220703125,1629.052978515625
1065.628662109375,1926.3780517578125
1374.9349365234375,1889.1949462890625
1244.2725830078125,1422.796142578125
1233.2242431640625,1980.298095703125
1273.9725341796875,1912.06982421875
1120.16357421875,1859.352783203125
1543.7957763671875,1807.50244140625
1347.9508056640625,1900.005126953125
1457.2567138671875,2022.158935546875
1400.950439453125,2007.70263671875
1447.0628662109375,1943.9434814453125
1610.159423828125,2162.30224609375
1503.373291015625,2102.088623046875
1471.7869873046875,2046.2940673828125
1555.7730712890625,2023.6927490234375
1314.40234375,1955.825927734375
1269.2271728515625,1831.9195556640625
1405.418701171875,2129.796630859375
1309.862548828125,2187.98681640625
1324.93310546875,2170.774658203125
1470.64990234375,1926.9188232421875
1143.2772216796875,2138.76806640625
1459.7254638671875,2011.45361328125
1282.8394775390625,2043.86376953125
1377.0189208984375,2044.3011474609375
1306.62548828125,2118.213134765625
1142.753662109375,2084.068359375
1348.0177001953125,1973.1920166015625
1600.87353515625,2185.021484375
1372.251708984375,1993.7296142578125
1663.8271484375,2042.0654296875
1429.666015625,1960.806884765625
1471.355224609375,2127.206787109375
1285.4508056640625,2060.486572265625
1478.095947265625,2358.045654296875
1365.1929931640625,2013.314208984375
1462.7930908203125,2060.008544921875
1511.0679931640625,2201.17041015625
1712.7747802734375,2034.9385986328125
1115.083984375,1789.4508056640625
1745.7479248046875,2205.2119140625
1477.3599853515625,2394.904541015625
1857.317138671875,2124.927734375
1417.633056640625,2125.81201171875
1755.4400634765625,2138.573974609375
1280.514404296875,2004.81689453125
1603.9754638671875,2054.207763671875
1316.650390625,2449.29736328125
1830.4154052734375,2171.880615234375
1615.557861328125,2176.383544921875
1647.9521484375,2156.576904296875
1398.4554443359375,2051.489990234375
1510.541748046875,2216.91943359375
1478.6824951171875,2273.1298828125
1242.108642578125,2230.867919921875
1621.976318359375,2264.59130859375
1613.9185791015625,2314.69775390625
1376.231689453125,2029.0849609375
1646.1546630859375,2238.2880859375
1887.030517578125,2540.269775390625
1223.0064697265625,2150.246826171875
1313.940185546875,2147.365966796875
1697.7462158203125,2081.202392578125
1643.702880859375,2008.75537109375
1736.3076171875,2030.050537109375
1564.842529296875,2302.263916015625
1501.7701416015625,2111.51171875
1713.860107421875,2268.307373046875
1749.1717529296875,2223.79345703125
1481.3299560546875,2460.59326171875
1559.927978515625,2406.712158203125
1434.865234375,2303.029052734375
1730.84765625,2205.06787109375
1559.9271240234375,2018.6856689453125
1596.3896484375,2500.73876953125
1482.4815673828125,2130.611572265625
1875.906005859375,2264.83203125
1810.7012939453125,2438.99658203125
1581.8782958984375,2463.55224609375
1568.5140380859375,2235.230224609375
1272.760986328125,2189.811767578125
1648.83984375,2130.79248046875
